All,Kõik
"The current module XML block name is undefined.","Selle mooduli XML ploki nimi on määratlemata."
"Text Field",Tekstiväli
"Text Area",Tekstiala
"Multiple Line","Mitu rida"
Yes/No,Jah/ei
"File (attachment)","Fail (manus)"
"Image File",Pildifail
Alphanumeric,"Numbrid ja tähed"
"Numeric Only","Ainult numbrid"
"Alpha Only","Ainult tähed"
"Strip HTML Tags","Kõrvalda HTML märgendid"
"You are subscribed to our newsletter.","Olete liitunud meie uudiskirjaga."
"You aren't subscribed to our newsletter.","Te ei ole liitunud meie uudiskirjaga."
"You have not set a default shipping address.","Teil pole seatud vaike tarneaadressi."
"You have not set a default billing address.","Vaikimisi arveldusaadressi pole valitud."
"Address Book",Aadressiraamat
"Edit Address","Muuda aadressi"
"Add New Address","Lisa uus aadress"
region,piirkond
"Save Customer","Salvesta klient"
"Reset Password","Taasta salasõna"
"New Customer","Uus klient"
Newsletter,Uudiskiri
"Newsletter Information","Uudiskirja informatioon"
"Subscribed to Newsletter","Uudiskiri tellitud"
"No Newsletter Found","Uudiskirja ei leitud"
"Start date",Alguskuupäev
"Receive Date","Vastuvõtmise kuupäev"
Subject,Pealkiri
Sent,Saadetud
"Not Sent",Saatmata
Sending,Saatmine
Paused,Peatatud
Unknown,Tundmatu
"Bill-to Name","Maksja nimi"
"Ship-to Name","Saaja nimi"
Confirmed,Kinnitatud
"Confirmation Required","Kinnitamine nõutud"
"Confirmation Not Required","Kinnitamine pole nõutud"
Indeterminate,Määramata
"The customer does not have default billing address.","Kliendil puudub vaikimisi arveaadress."
Offline,"Võrgust väljas"
Online,Võrgus
Never,"Mitte kunagi"
Unlocked,Lukustamata
Locked,Lukus
"Deleted Stores","Kustutatud poed"
"Add Locale","Lisa lokaliseering"
"Add Date","Lisa kuupäev"
"Days in Wish List","Päevi soovinimekirjas"
Unlock,Ava
"Delete Image","Kustuta pilt"
"View Full Size","Vaata täisekraanil"
"All countries","Kõik riigid"
"Add New Customer Group","Lisa uus kliendigrupp"
"Save Customer Group","Salvesta kliendigrupp"
"Delete Customer Group","Kustuta kliendigrupp"
"New Customer Group","Uus kliendigrupp"
"Edit Customer Group ""%1""","Muuda kliendigruppi ""%1"""
"Group Information",Grupiteave
"Group Name","Grupi nimi"
"Maximum length must be less then %1 characters.","Maksimaalne pikkus peab olema vähem kui %1 tähemärki."
"Tax Class",Maksuklass
"The customer is now assigned to Customer Group %s.","Klient on nüüd määratud kliendigruppi %s."
"The VAT ID is valid.","Õige KMKR nr."
"The VAT ID is valid. The current Customer Group will be used.","KMKR number on õige. Kasutatakse praegust kliendigruppi."
"Validate VAT Number","Kontrolli KMKR numbrit"
"Date of Birth",Sünnikuupäev
"Bad request.","Vigane päring."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Kui olete Käibemaksukohustuslasena registreeritud klient, palun kliki <a href=""%1""> siia</a> sisestada oma saateaadress õige käibemaksu arvutamiseks."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Kui olete Käibemaksukohustuslasena registreeritud klient, palun kliki <a href=""%1""> siia</a> sisestada oma arveaadress õige käibemaksu arvutamiseks."
"Thank you for registering with %1.","Täname registreerimise eest! %1."
"Please check your email for confirmation key.","Palun kontrollige kinnitusvõtit oma e-postist."
"This email does not require confirmation.","See e-post ei vaja kinnitamist."
"Wrong email.","Vale e-post."
"Your password reset link has expired.","Salasõna vahetamise viide on aegunud."
"Please make sure your passwords match.","Kontrollige, et sisestatud salasõnad ühtiks."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Kui olete Käibemaksukohustuslasena registreeritud klient, palun kliki <a href=""%1""> siia</a> sisestada oma saateaadress õige käibemaksu arvutamiseks."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Kui olete Käibemaksukohustuslasena registreeritud klient, palun kliki <a href=""%1""> siia</a> sisestada oma arveaadress õige käibemaksu arvutamiseks."
"You saved the account information.","Info salvestatud."
"Password confirmation doesn't match entered password.","Paroolid ei kattu."
"Please enter your email.","Palun sisesta e-posti aadress."
"A login and a password are required.","Kasutajanimi ja salasõna on nõutud."
"New Password and Confirm New Password values didn't match.","Uus salasõna ning uue salasõna kordus ei kattunud."
"Please enter a new password.","Palun sisestage uus salasõna."
"You updated your password.","Salasõna uuendatud."
"Something went wrong while saving the new password.","Salasõna salvestamisel läks midagi valesti."
"You deleted the address.","Aadress kustutatud."
"You saved the address.","Aadress salvestatud."
"You deleted the customer group.","Kliendigrupp kustutatud."
"The customer group no longer exists.","Kliendigruppi enam ei eksisteeri."
"New Group","Uus grupp"
"New Customer Groups","Uued kliendigrupid"
"Edit Group","Muuda gruppi"
"Edit Customer Groups","Muuda kliendigruppe"
"You saved the customer group.","Kliendigrupp salvestatud."
"Please select customer(s).","Vali klient / kliendid."
"Customer could not be deleted.","Klient ei saa kustutada."
"You deleted the customer.","Klient kustutatud."
"Something went wrong while editing the customer.","Kliendi muutmisel läks midagi valesti."
"Manage Customers","Halda kliente"
"The customer will receive an email with a link to reset password.","Klient saab e-posti salasõna taastamiseks."
"Something went wrong while resetting customer password.","Kliendi salasõna taastamisel läks midagi valesti."
"You saved the customer.","Klient salvestatud."
"Something went wrong while saving the customer.","Kliendi salvestamisel läks midagi valesti."
"Online Customers","Kliendid poes"
"Customers Now Online","Kliendid hetkel poes"
"Login successful.","Sisselogimine õnnestus."
"This customer already exists in this store.","Klient juba eksisteerib selles poes."
"Attribute object is undefined","Atribuut on määratlemata"
"""%1"" is not a valid email address.","""%1"" ei ole korrektne e-posti aadress."
"""%1"" is not a valid image format.","""%1"" ei ole kehtiv pildiformaat."
"Customer Group already exists.","Kliendigrupp juba eksisteerib."
"PHP SOAP extension is required.","Puudub PHP SOAP laiendus."
"Please enter a valid VAT number.","Sisestage korrektne KMKR number."
"NOT LOGGED IN","SISSE LOGIMATA"
"Personal Information",Isikuandmed
"Customer Group:",Kliendigrupp:
"Default Billing Address","Vaikimisi arveldusaadress"
"Manage Addresses","Halda aadresse"
"Default Shipping Address","Vaikimisi tarneaadress"
"Contact Information",Kontaktandmed
"Change Password","Muuda salasõna"
Newsletters,Uudiskirjad
"You are subscribed to ""General Subscription"".","Olete tellinud ""Üldtellimus""."
"Default Addresses",Vaikeaadress
"Change Billing Address","Muuda arveldusaadressi"
"You have no default billing address in your address book.","Teil puudub vaikimisi arveaadress aadressiraamatus."
"Change Shipping Address","Muuda tarneaadressi"
"You have no default shipping address in your address book.","Teil puudub vaikimisi saateaadress aadressiraamatus."
"It's a default billing address.","See on vaikimisi saateaadress."
"Use as my default billing address","Kasuta kui vaikimisi arveaadressina"
"It's a default shipping address.","See on vaikimisi saateaadress."
"Use as my default shipping address","Kasuta kui vaikimisi tarneaadressi"
"Back to Sign In","Tagasi sisse logima"
"Change Email","Muuda e-posti"
"Change Email and Password","Muuda e-posti ja salasõna"
"Current Password","Kehtiv salasõna"
"Password Strength","Salasõna tugevus"
"Confirm New Password","Kinnita uus salasõna"
"Reset My Password","Vaheta salasõna"
"Registered Customers","Registreerunud kliendid"
"If you have an account, sign in with your email address.","Kui teil on konto, logi sisse oma e-posti aadressiga."
"Subscription option","Tellimuse valik"
"General Subscription",Üldtellimus
"Sign Up for Newsletter","Liitu uudiskirjaga"
"Sign-in Information",Kontoandmed
"Confirm Password","Kinnita salasõna"
"Set a New Password","Määra uus salasõna"
"You have signed out and will go to our homepage in 5 seconds.","Olete välja loginud ning teid suunatakse 5 sekundi pärast avalehele."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Juba on konto selle meiliaadressiga. Kui olete kindel, et see on teie e-posti aadress, <a href=""%1""> Vajuta siia</a> et saada salasõna ja ligipääs kontole."
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Konto loomisel on mitmed eelised: saate kiiremini tellimuse esitada, hallata rohkem kui ühte aadressi, jälgida tellimuse staatust jne."
Fax,Faks
"Welcome to %store_name","Tere tulemast poodi %store_name"
"Welcome to %store_name.","Tere tulemast poodi %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Meie poodi sisselogimiseks kasutage neid tunnuseid. Sama saate teha ka tellimuse vormistamisel ja/või <a href=""%customer_url""> Minu konto </a> lehel:"
Email:,E-post:
Password:,Salasõna:
"Password you set when creating account","Konto loomisel määratud parool"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Unustasid oma salasõna? Klõpsake <a href=""%reset_url""> siin </a>, et seda uuendada."
"Proceed through checkout faster","Kulge läbi ostuprotsessi kiiremini"
"Check the status of orders","Jälgida oma tellimuste staatuseid"
"View past orders","Vaadata vanu tellimusi"
"If you requested this change, set a new password here:","Kui te soovisite siis uue salasõna saate määrata siin:"
"Creating an account has many benefits:","Konto loomisel on mitmeid eeliseid:"
"See order and shipping status","Vaata tellimuse ja tarne olekut"
Weak,Nõrk
Strong,Tugev
"Very Strong","Väga tugev"
"All Customers","Kõik kliendid"
"Now Online","Hetkel poes"
"Customer Configuration","Kliendi konfiguratsioon"
"Tax Calculation Based On","Maksukalkulatsiooni baas"
"Default Group",Vaikegrupp
"Default Welcome Email","Vaikimisi tervitus e-post"
"Default Welcome Email Without Password","Vaikimisi tervituskiri salasõnata"
"Welcome Email","Tervituse e-post"
"Generate Human-Friendly Customer ID","Genereeri inimsõbralik kliendi ID"
"Minimum Password Length","Minimaalne salasõna pikkus"
"Name and Address Options","Nime ja aadressi valikud"
"Show Prefix","Näita eesliidet"
"Show Middle Name (initial)","Näita keskmist nime (initsiaali)"
"Show Suffix","Näita järelliidet"
"Show Date of Birth","Näita sünnikuupäeva"
"Show Tax/VAT Number","Näita KMKR numbrit"
"Show Gender","Näita sugu"
"Show Telephone","Näita telefoni"
"Show Company","Näita ettevõtet"
"Show Fax","Näita faksi"
"Redirect Customer to Account Dashboard after Logging in","Suuna kliendid töölauale peale sisse logimist"
"Online Customers Options","Online klientide valikud"
"Customer Notification","Kliendi teavitamine"
"Assign a Customer Group","Määra kliendigruppi"
Group,Grupp
"Add New Customer","Lisa uus klient"
"Subscribe to Newsletter","Telli uudiskiri"
"Unsubscribe from Newsletter","Tühista uudiskirja tellimus"
"Customer Since","Klient alates"
"Tax VAT Number","KMKR number"
"Last Activity","Viimane toiming"
"Customer Information","Kliendi Informatsioon"
"Send Welcome Email From","Tervituse e-posti saatja"
"Edit Account Information","Minu konto andmed"
"Balance Change","Saldo muutus"
Balance,Kontojääk
"Customer notified","Klient teavitatud"
Notified,Teavitatud
"More information",Lisainfo
"Notify Customer by Email","Teavita klienti e-posti teel"
"Send Email Notification From the Following Store View","Saada e-posti teatis järgmisest poevaatest"
"Please specify a customer ID.","Palun täpsustage kliendi ID."
"Please specify a valid customer.","Palun täpsustage korrektne klient."
Used,Kasutatud
"Customer Address Attributes","Kliendi aadressi atribuudid"
"Edit Customer Address Attribute ""%1""","Muuda Kliendi aadressi atribuute ""%1"""
"Lines Count","Ridade arv"
"Minimum Text Length","Minimaalne teksti pikkus"
"File Extensions",Faililaiendid
"Maximum Image Width (px)","Maksimaalne pildi laius (px)"
"Maximum Image Height (px)","Maksimaalne pildi kõrgus (px)"
"Use in Search Options","Kasuta otsinguvalikutes"
"Use in Search Option","Kasuta otsinguvalikus"
"Manage Label / Options","Hallata silte / Valikuid"
"Visible to Customer","Nähtav kliendile"
"Customer Attributes","Klient atribuudid"
"Edit Customer Attribute ""%1""","Muuda kliendi atribuuti ""%1"""
"New Customer Attribute","Uus kliendi atribuut"
"Manage Customer Address Attributes","Halda kliendi aadressi atribuute"
"You cannot delete this attribute.","Seda atribuuti ei saa kustutada."
"You cannot edit this attribute.","Seda atribuuti ei saa redigeerida."
"Manage Customer Attributes","Halda kliendi atribuute"
"You deleted the customer attribute.","Kliendi atribuut kustutatud."
"The attribute no longer exists.","Seda atribuuti enam ei ole."
"Edit Customer Attribute","Muuda kliendi atribuuti"
"You saved the customer attribute.","Kliendi atribuut salvestatud."
"Customer Address Registration","Kliendi aadressi registreerimine"
"Customer Registration","Kliendi registreerimine"
"Customer Account Edit","Kliendi konto redigeerimine"
"This is your default billing address.","See on teie vaikimisi arveaadress."
"Customer Address","Kliendi aadress"
"Please specify a finance information website.","Palun määrake pangaandmete teabeleht."
"A row with this email, website, and finance website combination already exists.","Selline kirje mis sisaldab antud emaili, veebilehte ja pangainfot on juba olemas."
"Data was imported by %1","Andmed imporditud %1 poolt"
"Reward Points",Boonuspunktid
"Please specify a website.","Määrake veebisait."
"We found an invalid value in a website column.","Leidsime sobimatu väärtuse veebilehe veerus."
"Please enter a valid email.","Palun sisesta korrektne e-posti aadress."
"Excel XML","Exceli XML"
Segments,Segmendid
"Add Segment","Lisa segment"
"Refresh Segment Data","Segmendi andmete värskendamine"
"New Segment","Uus segment"
"General Properties",Üldseaded
"Segment Name","Segmendi nimi"
"Visitors and Registered Customers","Külastajad ja Registreeritud kliendid"
"Unable to delete the segment.","Segmendi kustutamine ebaõnnestus."
"Customer Segments",Kliendisegmendid
"Edit Segment","Muuda segmenti"
"Apply to the Selected Customer Segments","Rakenda valitud kliendisegmentidele"
"Product List",Tootenimekiri
"Product History",Tooteajalugu
"Address Attributes","Aadressi atribuudid"
"Customer Address %1","Kliendi aadress %1"
Billing,Arveldamine
"Customer Address %1 Default %2 Address","Kliendi aadress %1 Vaikimisi aadress %2"
"Customer %1","Klient %1"
"Newsletter Subscription","Uudiskirja tellimine"
"Address Type","Aadressi tüüp"
"Order Status","Tellimuse staatus"
"Wish List",Soovinimekiri
"is one of",kuulub
"is not one of","ei kuulu"
"Shopping Cart Total","Ostukorvi kogumaksumus"
"Grand Total","Kõik kokku"
"Gift Card",Kinkekaart
"greater than","suurem kui"
"less than","väiksem kui"
"AVS result code","AVS tulemuse kood"
"Card number","Kaardi number"
"Card expiry date","Kaardi kehtivusaja lõpp"
"Your payment has been declined. Please try again.","Makse on tagasi lükatud. Palun proovige uuesti."
"Format for IDE '%1' is not supported","'%1' IDE vormingut ei toetata"
"Server side less compilation","Serveri poolel vähem kompileerimist"
"Frontend Development Workflow","Frontend töövoog"
"Developer Client Restrictions","Ligipääsu piirang arendajatele"
"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds %1 %2.","Vali see, kui lubad DHL'il optimeerida veokulud - jagades tellimuse, kui see ületab %1 %2."
Pounds,Naela
Kilograms,Kilogrammi
Centimeters,Sentimeetrit
Height,Kõrgus
Depth,Sügavus
Width,Laius
"Account Number",Kontonumber
"Weight Unit",Kaaluühik
Size,Suurus
"Show Method if Not Applicable","Näita meetodit kui seda ei saa kasutada"
"Undefined rate from ""%1-%2"".","Määratlemata määr: ""%1-%2""."
"Your current currency is: %1.","Teie hetkene valuuta on: %1."
Continue,Jätka
"Base Currency",Baasvaluuta
"Default Display Currency","Vaikimisi kuvatav valuuta"
"Allowed Currencies","Lubatud valuutad"
"Error Email Recipient","Veateavituse e-kirja saaja"
"Error Email Sender","Veateavituse e-kirja saatja"
"Error Email Template","Veateavituse e-kirja põhi"
"Document is not saved due to error.","Dokumenti ei salvestatud tõrke tõttu."
"Invalid Document \n%1","Sobimatu dokument \n%1"
"Downloadable Information","Allalaaditav teave"
"Upload Files","Lae üles faile"
Unlimited,Piiramatu
"Something went wrong while getting the requested content.","Küsisime sisu, aga midagi läks valesti."
"My Downloadable Products","Minu digitaalsed tooted"
"Please sign in to download your product.","Palun logige sisse toote allalaadimiseks."
"The link has expired.","Link on aegunud."
Pending,Ootel
Sample,Näidis
Shareable,Jagatav
sample,näidis
"View Order","Vaata tellimust"
"Start Download","Allalaadimise alustamine"
"Open Links in New Window","Ava viited uues aknas"
"Disable Guest Checkout if Cart Contains Downloadable Items","Keela võimalus vormistada ost külalisena kui korvis on allalaetavaid tooteid"
"Default Label","Vaikimisi silt"
"Default label",Vaikeväärtus
"Values Required","Kohustuslikud väärtused"
"Integer Number",Täisarv
Letters,Tähed
"Letters (a-z, A-Z) or Numbers (0-9)","Tähed (a-z, A-Z) või numbrid (0-9)"
"Invalid date","Sobimatu kuupäev"
"The value of attribute not valid","Kehtetu atribuudi väärtus"
"EAV types and attributes","EAV tüübid ja atribuudid"
"Elasticsearch Server Hostname","Elastilise otsingu serveri nimi"
"Elasticsearch Server Port","Elastilise otsingu serveri port"
"Enable Elasticsearch HTTP Auth","Luban kasutada Elasticsearch HTTP Auth"
"Test Connection","Testi ühendust"
"Add New Template","Lisa uus mall"
"Convert to Plain Text","Muuda lihttekstiks"
"New Email Template","Uus e-kirja põhi"
"New Template","Uus mall"
"Email Templates","E-posti põhjad"
"You saved the email template.","E-posti mall salvestatud."
"Template Variables","Malli muutujad"
"Please enter a template name.","Sisesta malli nimi."
"Duplicate Of Template Name","Malli nime duplikaat"
"Invalid transactional email code: %1","Vale tehingu e-posti kood: %1"
"""file"" parameter must be specified","""faili"" parameeter peab olema määratud"
"Thank you, %store_name","Aitäh, %store_name"
"Template Type","Malli tüüp"
"Logo Image","Logo pilt"
"Logo Width","Logo laius"
"Logo Height","Logo kõrgus"
"Header Template","Päise mall"
"Footer Template","Jaluse mall"
"Change Encryption Key","Muuda krüptovõtit"
"Encryption Key",Krüpteerimisvõti
"New Encryption Key","Uus krüpteerimisvõti"
"The encryption key is used to protect passwords and other sensitive data.","Krüptovõtmega saab kaitsta paroole ja muid tundlikke andmeid."
"New Key","Uus võti"
"Private Sales","Era müük"
"Address Verification","Aadressi kontrollimine"
"Europe First Priority","Euroopa esimene prioriteet"
"2 Day Freight","2 päeva tarne"
"2 Day","2 päeva"
"3 Day Freight","3 päeva tarne"
"Home Delivery","Transport koju"
"Not Required","Ei ole nõutud"
Key,Võti
"Allowed Methods","Lubatud meetodid"
"Gift Card Information","Kinkekaardi teave"
Physical,Füüsiline
Combined,Kombineeritud
"Gift Card Type","Kinkekaardi tüüp"
"Gift Card Sender","Kinkekaardi saatja"
"Gift Card Recipient","Kinkekaardi saaja"
"Gift Card Message","Kinkekaardi sõnum"
"Gift Card Lifetime","Kinkekaardi kehtivusaeg"
"Gift Card Accounts","Kinkekaardi kontod"
"Allow Message","Luba sõnum"
"Choose an Amount...","Vali summa..."
Minimum,Minimaalne
Maximum,Maksimaalne
"Recipient Name","Saaja nimi"
"Recipient Email","Saaja e-posti aadress"
"Gift Cards",Kinkekaardid
"Allow Gift Message","Luba kinkesõnum"
"Save & Send Email","Salvesta & Saada e-post"
"Edit Gift Card Account: %1","Muuda kingikaarti kontot: %1"
Information,Informatsioon
"Gift Card Code","Kinkekaardi kood"
"Send Gift Card","Saada kinkekaart"
"Send Email from the Following Store View","Saada e-post järgmisest poevaatest"
"-- First Please Select a Website --","-Esmalt valige veebisait--"
"Gift Card Account","Kinkekaardi konto"
History,Ajalugu
"Edit Gift Card Account","Muuda kinkekaarti kontot"
"New Account","Uus konto"
"Gift Card ""%1"" was added.","Lisati kinkekaart ""%1""."
Available,Saadaval
Redeemed,Lunastatud
Expired,Aegunud
"Order #%1.","Tellimus #%1."
"Customer #%1.","Klient #%1."
"Add Gift Card","Lisa kinkekaart"
"Enter gift card code","Sisesta kinkekaardi kood"
"Redeem Gift Card","Lunasta kinkekaart"
"Enter the gift card code","Sisesta kinkekaardi kood"
"Gift Card Template","Kinkekaardi põhi"
"Code Length","Koodi pikkus"
"Excluding prefix, suffix and separators.","Ilma ees- ja järeliite ning eraldussümboliteta."
"Code Format","Koodi ülesehitus"
"Code Prefix","Koodi eesliides"
"Code Suffix","Koodi järelliides"
"Do you have any gift items in your order?","Kas teile tellimuses on mõni kink?"
"Are you sure you want to delete this gift registry?","Kas soovite kustutada selle kingituste registri?"
"Gift Registry Entity","Kingitus registri üksus"
"Product ID","Toote ID"
"Remove Item","Eemalda toode"
"Sharing Information","Jagamise info"
Public,Avalik
"Please select a region, state or province","Valige piirkond, maakond või vald"
"Select Search Type","Vali otsingu tüüp"
"New Type","Uus tüüp"
"Please enter at least 2 letters of the first name.","Sisesta vähemalt kaks eesnime esimest tähte."
"Please enter at least 2 letters of the last name.","Sisesta vähemalt kaks perekonnanime esimest tähte."
"Please enter a valid email address.","Palun sisesta korrektne e-posti aadress."
Private,Privaatne
"Please enter the message.","Sisesta sõnum."
"This product(s) is out of stock.","Toode/tooted on laost otsas."
New,Uus
"Please enter the first name.","Sisesta eesnimi."
"Please enter the last name.","Sisesta perekonnanimi."
"-- All --","-- Kõik --"
Owner,Omanik
"Attribute Group",Atribuudigrupp
"Is Required","On nõutud"
"Is Searcheable",Otsitav
Share,Jaga
Sender,Saatja
"Required Fields","Kohustuslikud väljad"
"Search Options","Otsingu valikud"
"Search Results","Otsingu tulemused"
Location,Asukoht
"Search By",Otsi
"Unit Price","Ühiku hind"
"Simply browse to <a href=""%store_url"">%store_name</a> and add the products you want to your shopping cart or wish list.","Külastage meie poodi <a href=""%store_url"">%s</a> ja lisage tooted mida te soovite ostukorvi sõi soovinimekirja."
"General Options",Üldvalikud
"Gift Wrapping","Kingituse pakkimine"
"Are you sure you want to delete this gift wrapping?","Olete kindel, et soovite tühistada kingituse pakendamise?"
"New Gift Wrapping","Uus kingituse pakkimine"
"You have not uploaded the image.","Pilt ei ole üles laetud."
"Excluding Tax",Maksuta
"Including Tax",Maksuga
"Including and Excluding Tax","Maksuga ja maksuta"
"Price Excl. Tax","Hind ilma maksuta"
"Price Incl. Tax","Hind koos maksuga"
"No image","Pilt puudub"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Konverteerimise värvi väärtus pole kehtiv ""%1"". Seadke kuueteistkümnendsüsteemis 6-kohaline kood."
"Product View Optimization","Toote Kuva optimeerimine"
"Page View Optimization","Toote Kuva optimeerimine"
"Data key is missing: %1","Andme võti on puudu: %1"
"Experiment code should be added to the original page only.","Eksperimentaal koodi peaks lisatama vaid originaal lehele."
"Google Analytics Enhanced Ecommerce Settings","Google Analytics täiustatud e-kaubanduse seaded"
"Grouped Products","Grupeeritud tooted"
"Cannot process the item.","Seda ei saa töödelda."
"Export Settings","Ekspordi seaded"
"Entity Type","Olemi tüüp"
Import/Export,Import/eksport
"Show more","Näita rohkem"
"URL key for specified store already exists.","See URL tunnus on selles poevaates juba kasutuses."
"Indexer Management","Indekseerija haldus"
"Update on Save","Uuenda salvestamisel"
"Reindex required","Reindekseerimine vajalik"
Ready,Valmis
Processing,Töötlemises
"%1 index is locked by another reindex process. Skipping.","%1 indeks on lukustatud teise protsessi poolt, jääb vahele."
"Index Management",Indeksihaldus
"Please select indexers.","Valige üksused."
"We couldn't change indexer(s)' mode because of an error.","Me ei saa muuta indeksi(te) režiimi tõrke tõttu."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 indeks(it) on ""Uuenda peale salvestamist"" režiimis."
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","Üks või mitu <a href=""%1"">indeksit on kehtetud</a>. Veenduge <a href=""%2"" target=""_blank"">Magento cron</a> töötab."
"Field '%1' not found","Välja '%1' ei leitud"
"Change indexer mode","Muuda indekseerimisrežiimi"
Indexer,Indekseerija
Mode,Režiim
"Shipping Method",Tarneviis
Integrations,Integratsioonid
"Save & Activate","Salvesta & Aktiveeri"
"New Integration","Uus Integreeratsioon"
"Resource Access","Juurdepääs ressursile"
Resources,Ressursid
Invitations,Kutsed
"New Invitations","Uued kutsed"
"Send Invitation","Saada kutse"
"General Report","Üldine aruanne"
"My Invitations","Minu kutsed"
"Customer ID","Kliendi ID"
"Invited Customers","Kutsutud kliendid"
"Filterable (with results)","Filtreeritav (tulemustega)"
"Filterable (no results)","Filtreeritav (tulemusteta)"
"Use in Layered Navigation","Kasuta tootefiltris"
"Use in Search Results Layered Navigation","Kasuta otsingu tulemuste lehe tootefiltris"
"Position in Layered Navigation","Positsioon tootefiltris"
item,toode
items,toodet
"Now Shopping by","Ostlemise moodus"
"Layered Navigation",Tootefilter
"Display Product Count","Kuva toodete kogus"
"Admin Actions Log Archive","Administraatori tegevuste logi arhiiv"
"Log Entry #%1","Logi kirje #%1"
"All Users","Kõik kasutajad"
"Tax Rates Import","Maksumäärade import"
"Attributes Updated","Atribuudid uuendatud"
"Currency Rates Saved","Valuutakursid salvestatud"
"Tax Rates Export","Maksumäärade eksport"
IP-Address,"IP aadress"
"Log Archiving Frequency","Logi arhiveerimise sagedus"
"Forgot Password","Unustasid salasõna"
Reorder,"Telli uuesti"
Print,Trüki
Send,Saada
Create,Loo
"Admin Sign In","Administraatori sisse logimine"
"Cart Price Rules","Ostukorvi hinna reeglid"
"Newsletter Queue","Uudiskirja järjekord"
"Newsletter Templates","Uudiskirja mallid"
"Newsletter Subscribers","Uudiskirja tellijad"
"Manage Store Views","Halda poevaateid"
"Custom Variables","Kohandatud muutujad"
"Customer Tax Classes","Kliendi maksuklassid"
"Catalog Product Tax Classes","Kataloogitoodete maksuklassid"
"Tax Rules",Maksureeglid
"Tax Rates",Maksumäärad
"IP Address","IP aadress"
Partners,Partnerid
"Platinum Partners","Platinum partnerid"
"Partner search","Partneri otsing"
Synchronize,Sünkroniseeri
"Synchronizing %1 to %2","Sünkroonimine %1 %2"
Synchronizing...,Sünkroonimine...
"File System",Failisüsteem
"File system",Failisüsteem
"Some exception","Mõni erand"
"To see product price, add this item to your cart. You can always remove it later.","Toote hinna nägemiseks lisage see ostukorvi. Te saate selle alati hiljem eemaldada."
"On Gesture",Viiped
"In Cart",Ostukorvis
"Display Actual Price","Näita tegelikku hinda"
Wishlist,Soovinimekiri
"Customer's Wish List Report","Kliendi soovilisti aruanne"
"My Wish Lists","Minu soovinimekirjad"
"1 item in wish list","1 asi soovilistis"
"%1 items in wish list","%1 asja soovilistis"
"Wish List Search","Soovinimekirja otsing"
"Owner Email","Omaniku e-posti aadress"
"%1's Wish List","%1's Soovilist"
"Copy to Wish List","Kopeeri soovinimekirja"
"Move Selected to Wish List","Teisalda valik soovide nimekirja"
"Copy Selected to Wish List","Kopeeri valik soovide nimekirja"
"My Wish Lists Link","Minu soovikirjade link"
"Product Info",Tooteinfo
"Ship to Multiple Addresses","Saada mitmele aadressile"
"Billing Information - %1","Arveldusandmed - %1"
"Shipping Methods",Tarneviisid
"Edit Shipping Address","Muuda tarneaadressi"
"Create Billing Address","Lisa arveldusaadress"
"Create Shipping Address","Lisa tarneaadress"
"Shipping Information",Tarneteave
"Billing Information",Arveldusandmed
"Default Billing","Vaikimisi arveldus"
"Default Shipping","Vaikimisi tarne"
"Back to Billing Information","Tagasi arveldusandmetesse"
"Enter a New Address","Sisesta uus aadress"
"Back to Shopping Cart","Tagasi ostukorvi"
"Back to Shipping Information","Tagasi tarneandmetesse"
"Edit Items","Muuda kirjeid"
"Check Out with Multiple Addresses","Esita tellimus mitme aadressiga"
"Order Review","Telli ülevaade"
"Grand Total:","Kõik kokku:"
"Ship to:",Saaja:
"Back to Select Addresses","Tagasi aadressi valimisse"
"Select Shipping Method","Vali tarneviis"
"MySQL Message Queue Cleanup","MySQL sõnumi järjekorda puhastamine"
"All the times are in minutes. Use ""0"" if you want to skip automatic clearance.","Kõik ajad on minutites. Kasuta ""0"", kui soovite jätta vahele automaatse puhastamise."
"Subtotal (Incl. Tax)","Vahesumma (maksuga)"
"Subtotal (Excl. Tax)","Vahesumma (maksuta)"
"Shipping & Handling","Tarne & Käitlemine"
Comments,Kommentaarid
Expires,Aegub
"Click to change shipping method","Vaheta tarneviis"
"Go to Checkout",Tellima
"Minimum Amount","Minimaalne Kogus"
"Delete Selected Problems","Kustuta valitud probleemid"
"Unsubscribe Selected","Eemalda valitud"
"Save Newsletter","Salvesta uudiskiri"
"View Newsletter","Vaata uudiskirja"
